ID,Domain,Sub-Domain,Topic Area,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Choice H,Choice I,Choice J,Choice K,Choice L,Choice N,Choice N,Correct Answer(s)
204,,,,An organization has hired an information security officer to lead their security department. The officer has adequate people resources but is lacking the other necessary components to have an effective security program. There are numerous initiatives requiring security involvement. The security program can be considered effective when,vulnerabilities are proactively identified.,audits are regularly performed and reviewed.,backups are regularly performed and validated.,risk is lowered to an acceptable level.,,,,,,,,,,,D
205,,,,Which of the following describes the concept of a Single Sign -On (SSO) system?,Users are authenticated to one system at a time.,Users are identified to multiple systems with several credentials.,Users are authenticated to multiple systems with one login.,Only one user is using the system at a time.,,,,,,,,,,,C
206,,,,What is the PRIMARY reason for ethics awareness and related policy implementation?,It affects the workflow of an organization.,It affects the reputation of an organization.,It affects the retention rate of employees.,It affects the morale of the employees.,,,,,,,,,,,B
207,,,,A large organization uses unique identifiers and requires them at the start of every system session. Application access is based on job classification. The organization is subject to periodic independent reviews of access controls and violations. The organization uses wired and wireless networks and remote access. The organization also uses secure connections to branch offices and secure backup and recovery strategies for selected information and processes. What MUST the access control logs contain in addition to the identifier?,Time of the access,Security classification,Denied access attempts,Associated clearance,,,,,,,,,,,A
208,,,,"Desktop computers in an organization were sanitized for re-use in an equivalent security environment. The data was destroyed in accordance with organizational policy and all marking and other external indications of the sensitivity of the data that was formerly stored on the magnetic drives were removed.After magnetic drives were degaussed twice according to the product manufacturer's directions, what is the MOST LIKELY security issue with degaussing?",Commercial products often have serious weaknesses of the magnetic force available in the degausser product.,Degausser products may not be properly maintained and operated.,The inability to turn the drive around in the chamber for the second pass due to human error.,Inadequate record keeping when sanitizing media.,,,,,,,,,,,B
209,,,,"An organization experiencing a negative financial impact is forced to reduce budgets and the number of Information Technology (IT) operations staff performing basic logical access security administration functions. Security processes have been tightly integrated into normal IT operations and are not separate and distinct roles.When determining appropriate resource allocation, which of the following is MOST important to monitor?",Number of system compromises,Number of audit findings,Number of staff reductions,Number of additional assets,,,,,,,,,,,B
210,,,,Which of the following is required to determine classification and ownership?,System and data resources are properly identified,Access violations are logged and audited,Data file references are identified and linked,System security controls are fully integrated,,,,,,,,,,,A
211,,,,Which of the following is the BEST way to determine if a particular system is able to identify malicious software without executing it?,Testing with a Botnet,Testing with an EICAR file,Executing a binary shellcode,Run multiple antivirus programs,,,,,,,,,,,B
212,,,,"According to best practice, which of the following groups is the MOST effective in performing an information security compliance audit?",In-house security administrators,In-house Network Team,Disaster Recovery (DR) Team,External consultants,,,,,,,,,,,D
213,,,,Which of the following MUST system and database administrators be aware of and apply when configuring systems used for storing personal employee data?,Secondary use of the data by business users,The organization's security policies and standards,The business purpose for which the data is to be used,The overall protection of corporate resources and data,,,,,,,,,,,B
214,,,,"A new employee is given a laptop computer with full administrator access. This employee does not have a personal computer at home and has a child that uses the computer to send and receive e-mail, search the web, and use instant messaging. The organization’s Information Technology (IT) department discovers that a peer-to-peer program has been installed on the computer using the employee's access.Which of the following solutions would have MOST likely detected the use of peer-to-peer programs when the computer was connected to the office network?",Anti-virus software,Intrusion Prevention System (IPS),Anti-spyware software,Integrity checking software,,,,,,,,,,,B
215,,,,Which of the following is the MOST difficult to enforce when using cloud computing?,Data access,Data backup,Data recovery,Data disposal,,,,,,,,,,,D
216,,,,"If an attacker in a SYN flood attack uses someone else's valid host address as the source address, the system under attack will send a large number of Synchronize/Acknowledge (SYN/ACK) packets to the",default gateway.,attacker's address.,local interface being attacked.,specified source address.,,,,,,,,,,,D
217,,,,What physical characteristic does a retinal scan biometric device measure?,The amount of light reflected by the retina,"The size, curvature, and shape of the retina",The pattern of blood vessels at the back of the eye,The pattern of light receptors at the back of the eye,,,,,,,,,,,C
218,,,,Which of the following problems is not addressed by using OAuth (Open Standard to Authorization) 2.0 to integrate a third-party identity provider for a service?,Resource Servers are required to use passwords to authenticate end users.,Revocation of access of some users of the third party instead of all the users from the third party.,Compromise of the third party means compromise of all the users in the service.,Guest users need to authenticate with the third party identity provider.,,,,,,,,,,,A
219,,,,What is the MOST important reason to configure unique user IDs?,Supporting accountability,Reducing authentication errors,Preventing password compromise,Supporting Single Sign On (SSO),,,,,,,,,,,A
220,,,,"From a security perspective, which of the following is a best practice to configure a Domain Name Service (DNS) system?",Configure secondary servers to use the primary server as a zone forwarder.,Block all Transmission Control Protocol (TCP) connections.,Disable all recursive queries on the name servers.,Limit zone transfers to authorized devices.,,,,,,,,,,,D
221,,,,Which of the following is an example of two-factor authentication?,Retina scan and a palm print,Fingerprint and a smart card,Magnetic stripe card and an ID badge,Password and Completely Automated Public Turing test to tell Computers and Humans Apart (CAPTCHA),,,,,,,,,,,B
222,,,,Which of the following provides effective management assurance for a Wireless Local Area Network (WLAN)?,Maintaining an inventory of authorized Access Points (AP) and connecting devices,Setting the radio frequency to the minimum range required,Establishing a Virtual Private Network (VPN) tunnel between the WLAN client device and a VPN concentrator,Verifying that all default passwords have been changed,,,,,,,,,,,A
223,,,,Which of the following is critical for establishing an initial baseline for software components in the operation and maintenance of applications?,Application monitoring procedures,Configuration control procedures,Security audit procedures,Software patching procedures,,,,,,,,,,,B
224,,,,"During an investigation of database theft from an organization's web site, it was determined that the Structured Query Language (SQL) injection technique was used despite input validation with client-side scripting. Which of the following provides the GREATEST protection against the same attack occurring again?",Encrypt communications between the servers,Encrypt the web server traffic,Implement server-side filtering,Filter outgoing traffic at the perimeter firewall,,,,,,,,,,,C
225,,,,Which of the following provides the MOST protection against data theft of sensitive information when a laptop is stolen?,Set up a BIOS and operating system password,Encrypt the virtual drive where confidential files can be stored,"Implement a mandatory policy in which sensitive data cannot be stored on laptops, but only on the corporate network",Encrypt the entire disk and delete contents after a set number of failed access attempts,,,,,,,,,,,D
226,,,,"A security practitioner detects client-based attacks on the organization’s network. A plan will be necessary to address these concerns.In the plan, what is the BEST approach to mitigate future internal client-based attacks?",Block all client side web exploits at the perimeter.,Remove all non-essential client-side web services from the network.,Screen for harmful exploits of client-side services before implementation.,Harden the client image before deployment.,,,,,,,,,,,D
227,,,,"During the investigation of a security incident, it is determined that an unauthorized individual accessed a system which hosts a database containing financial information.If it is discovered that large quantities of information have been copied by the unauthorized individual, what attribute of the data has been compromised?",Availability,Integrity,Accountability,Confidentiality,,,,,,,,,,,D
228,,,,A risk assessment report recommends upgrading all perimeter firewalls to mitigate a particular finding. Which of the following BEST supports this recommendation?,The inherent risk is greater than the residual risk.,The Annualized Loss Expectancy (ALE) approaches zero.,The expected loss from the risk exceeds mitigation costs.,The infrastructure budget can easily cover the upgrade costs.,,,,,,,,,,,C
229,,,,What is the MOST effective method for gaining unauthorized access to a file protected with a long complex password?,Brute force attack,Frequency analysis,Social engineering,Dictionary attack,,,,,,,,,,,C
230,,,,Which of the following is the BEST reason to review audit logs periodically?,Verify they are operating properly,Monitor employee productivity,Identify anomalies in use patterns,Meet compliance regulations,,,,,,,,,,,C
231,,,,Desktop computers in an organization were sanitized for re-use in an equivalent security environment. The data was destroyed in accordance with organizational policy and all marking and other external indications of the sensitivity of the data that was formerly stored on the magnetic drives were removed.Organizational policy requires the deletion of user data from Personal Digital Assistant (PDA) devices before disposal. It may not be possible to delete the user data if the device is malfunctioning. Which destruction method below provides the BEST assurance that the data has been removed?,Knurling,Grinding,Shredding,Degaussing,,,,,,,,,,,C
232,,,,"During the investigation of a security incident, it is determined that an unauthorized individual accessed a system which hosts a database containing financial information. Aside from the potential records which may have been viewed, which of the following should be the PRIMARY concern regarding the database information?",Unauthorized database changes,Integrity of security logs,Availability of the database,Confidentiality of the incident,,,,,,,,,,,A
233,,,,A large university needs to enable student access to university resources from their homes. Which of the following provides the BEST option for low maintenance and ease of deployment?,Provide students with Internet Protocol Security (IPSec) Virtual Private Network (VPN) client software.,Use Secure Sockets Layer (SSL) VPN technology.,Use Secure Shell (SSH) with public/private keys.,Require students to purchase home router capable of VPN.,,,,,,,,,,,B
234,,,,Which of the following is a detective access control mechanism?,Log review,Least privilege,Password complexity,Non-disclosure agreement,,,,,,,,,,,A
235,,,,Host-Based Intrusion Protection (HIPS) systems are often deployed in monitoring or learning mode during their initial implementation. What is the objective of starting in this mode?,Automatically create exceptions for specific actions or files,Determine which files are unsafe to access and blacklist them,Automatically whitelist actions or files known to the system,Build a baseline of normal or safe system events for review,,,,,,,,,,,D
236,,,,What component of a web application that stores the session state in a cookie can be bypassed by an attacker?,An initialization check,An identification check,An authentication check,An authorization check,,,,,,,,,,,C
237,,,,Which of the following methods provides the MOST protection for user credentials?,Forms-based authentication,Digest authentication,Basic authentication,Self-registration,,,,,,,,,,,B
238,,,,What is the BEST method to detect the most common improper initialization problems in programming languages?,Use and specify a strong character encoding.,Use automated static analysis tools that target this type of weakness.,Perform input validation on any numeric inputs by assuring that they are within the expected range.,Use data flow analysis to minimize the number of false positives.,,,,,,,,,,,B
239,,,,A security manager has noticed an inconsistent application of server security controls resulting in vulnerabilities on critical systems. What is the MOST likely cause of this issue?,A lack of baseline standards,Improper documentation of security guidelines,A poorly designed security policy communication program,Host-based Intrusion Prevention System (HIPS) policies are ineffective,,,,,,,,,,,A
240,,,,What is the BEST first step for determining if the appropriate security controls are in place for protecting data at rest?,Identify regulatory requirements,Conduct a risk assessment,Determine business drivers,Review the security baseline configuration12,,,,,,,,,,,B
241,,,,"A large, multinational organization has decided to outsource a portion of their Information Technology (IT) organization to a third-party provider’s facility. This provider will be responsible for the design, development, testing, and support of several critical, customer-based applications used by the organization. The organization should ensure that the third party's physical security controls are in place so that they",are more rigorous than the original controls.,are able to limit access to sensitive information.,allow access by the organization staff at any time.,cannot be accessed by subcontractors of the third party.,,,,,,,,,,,B
242,,,,"For a service provider, which of the following MOST effectively addresses confidentiality concerns for customers using cloud computing?",Hash functions,Data segregation,File system permissions,Non-repudiation controls,,,,,,,,,,,B
243,,,,A system is developed so that its business users can perform business functions but not user administration functions. Application administrators can perform administration functions but not user business functions. These capabilities are BEST described as,least privilege.,rule based access controls.,Mandatory Access Control (MAC).,separation of duties.,,,,,,,,,,,D
244,,,,"In a Multilevel Security (MLS) system, the following sensitivity labels are used in increasing levels of sensitivity: restricted, confidential, secret, top secret. Table A lists the clearance levels for four users, while Table B lists the security classes of four different files. Which of the following is true according to the star property (*property)?",User D can write to File 1,User B can write to File 1,User A can write to File 1,User C can write to File 1,,,,,,,,,,,C
245,,,,What is the MOST critical factor to achieve the goals of a security program?,Capabilities of security resources,Executive management support,Effectiveness of security management,Budget approved for security resources,,,,,,,,,,,B
246,,,,When is security personnel involvement in the Systems Development Life Cycle (SDLC) process MOST beneficial?,Testing phase,Development phase,Requirements definition phase,Operations and maintenance phase,,,,,,,,,,,C
247,,,,Which of the following is the MOST crucial for a successful audit plan?,Defining the scope of the audit to be performed,Identifying the security controls to be implemented,Working with the system owner on new controls,Acquiring evidence of systems that are not compliant,,,,,,,,,,,A
248,,,,Which of the following is a MAJOR consideration in implementing a Voice over IP (VoIP) network?,Use of a unified messaging.,Use of separation for the voice network.,Use of Network Access Control (NAC) on switches.,Use of Request for Comments (RFC) 1918 addressing.,,,,,,,,,,,A
249,,,,"A large organization uses unique identifiers and requires them at the start of every system session. Application access is based on job classification. The organization is subject to periodic independent reviews of access controls and violations. The organization uses wired and wireless networks and remote access. The organization also uses secure connections to branch offices and secure backup and recovery strategies for selected information and processes. Following best practice, where should the permitted access for each department and job classification combination be specified?",Security procedures,Security standards,Human resource policy,Human resource standards,,,,,,,,,,,B
250,,,,An organization publishes and periodically updates its employee policies in a file on their intranet. Which of the following is a PRIMARY security concern?,Availability,Confidentiality,Integrity,Ownership,,,,,,,,,,,A
251,,,,"A security practitioner detects client-based attacks on the organization’s network. A plan will be necessary to address these concerns. In addition to web browsers, what PRIMARY areas need to be addressed concerning mobile code used for malicious purposes?","Text editors, database, and Internet phone applications","Email, presentation, and database applications","Image libraries, presentation and spreadsheet applications","Email, media players, and instant messaging applications",,,,,,,,,,,D
252,,,,"A new employee is given a laptop computer with full administrator access. This employee does not have a personal computer at home and has a child that uses the computer to send and receive e-mail, search the web, and use instant messaging. The organization’s Information Technology (IT) department discovers that a peer-to-peer program has been installed on the computer using the employee's access. Which of the following documents explains the proper use of the organization's assets?",Human resources policy,Acceptable use policy,Code of ethics,Access control policy,,,,,,,,,,,B
253,,,,A large organization uses unique identifiers and requires them at the start of every system session. Application access is based on job classification. The organization is subject to periodic independent reviews of access controls and violations. The organization uses wired and wireless networks and remote access. The organization also uses secure connections to branch offices and secure backup and recovery strategies for selected information and processes. Which of the following BEST describes the access control methodology used?,Least privilege,Lattice Based Access Control (LBAC),Role Based Access Control (RBAC),Lightweight Directory Access Control (LDAP),,,,,,,,,,,C
254,,,,Which of the following are required components for implementing software configuration management systems?,Audit control and signoff,User training and acceptance,Rollback and recovery processes,Regression testing and evaluation,,,,,,,,,,,C
255,,,,"When implementing a secure wireless network, which of the following supports authentication and authorization for individual client endpoints?",Temporal Key Integrity Protocol (TKIP),Wi-Fi Protected Access (WPA) Pre-Shared Key (PSK),Wi-Fi Protected Access 2 (WPA2) Enterprise,Counter Mode with Cipher Block Chaining Message Authentication Code Protocol (CCMP),,,,,,,,,,,C
256,,,,Which of the following is a process within a Systems Engineering Life Cycle (SELC) stage?,Requirements Analysis,Development and Deployment,Production Operations,Utilization Support,,,,,,,,,,,A
257,,,,What is the MAIN feature that onion routing networks offer?,Non-repudiation,Traceability,Anonymity,Resilience,,,,,,,,,,,C
258,,,,An organization's data policy MUST include a data retention period which is based on,application dismissal.,business procedures.,digital certificates expiration.,regulatory compliance.,,,,,,,,,,,D
259,,,,An organization experiencing a negative financial impact is forced to reduce budgets and the number of Information Technology (IT) operations staff performing basic logical access security administration functions. Security processes have been tightly integrated into normal IT operations and are not separate and distinct roles. Which of the following will be the PRIMARY security concern as staff is released from the organization?,Inadequate IT support,Loss of data and separation of duties,Undocumented security controls,Additional responsibilities for remaining staff,,,,,,,,,,,B
260,,,,An organization has hired an information security officer to lead their security department. The officer has adequate people resources but is lacking the other necessary components to have an effective security program. There are numerous initiatives requiring security involvement. The effectiveness of the security program can PRIMARILY be measured through,audit findings.,risk elimination.,audit requirements.,customer satisfaction.,,,,,,,,,,,A
261,,,,What is a common challenge when implementing Security Assertion Markup Language (SAML) for identity integration between on-premise environment and an external identity provider service?,Some users are not provisioned into the service.,SAML tokens are provided by the on-premise identity provider.,Single users cannot be revoked from the service.,SAML tokens contain user information.,,,,,,,,,,,A
262,,,,An organization has hired an information security officer to lead their security department. The officer has adequate people resources but is lacking the other necessary components to have an effective security program. There are numerous initiatives requiring security involvement. Which of the following is considered the MOST important priority for the information security officer?,Formal acceptance of the security strategy,Disciplinary actions taken against unethical behavior,Development of an awareness program for new employees,Audit of all organization system configurations for faults,,,,,,,,,,,A
263,,,,Which item below is a federated identity standard?,802.11i,Kerberos,Lightweight Directory Access Protocol (LDAP),Security Assertion Markup Language (SAML),,,,,,,,,,,D
264,,,,An online retail company has formulated a record retention schedule for customer transactions. Which of the following is a valid reason a customer transaction is kept beyond the retention schedule?,Pending legal hold,Long term data mining needs,Customer makes request to retain,Useful for future business initiatives,,,,,,,,,,,A
265,,,,"A large, multinational organization has decided to outsource a portion of their Information Technology (IT) organization to a third-party provider’s facility. This provider will be responsible for the design, development, testing, and support of several critical, customer-based applications used by the organization. What additional considerations are there if the third party is located in a different country?",The organizational structure of the third party and how it may impact timelines within the organization,The ability of the third party to respond to the organization in a timely manner and with accurate information,The effects of transborder data flows and customer expectations regarding the storage or processing of their data,The quantity of data that must be provided to the third party and how it is to be used,,,,,,,,,,,C
266,,,,A thorough review of an organization's audit logs finds that a disgruntled network administrator has intercepted emails meant for the Chief Executive Officer (CEO) and changed them before forwarding them to their intended recipient. What type of attack has MOST likely occurred?,Spoofing,Eavesdropping,Man-in-the-middle,Denial of service,,,,,,,,,,,C
267,,,,An organization experiencing a negative financial impact is forced to reduce budgets and the number of Information Technology (IT) operations staff performing basic logical access security administration functions. Security processes have been tightly integrated into normal IT operations and are not separate and distinct roles. Which of the following will indicate where the IT budget is BEST allocated during this time?,Policies,Frameworks,Metrics,Guidelines,,,,,,,,,,,C
268,,,,"When using third-party software developers, which of the following is the MOST effective method of providing software development Quality Assurance (QA)?",Retain intellectual property rights through contractual wording.,Perform overlapping code reviews by both parties.,Verify that the contractors attend development planning meetings.,Create a separate contractor development environment.,,,,,,,,,,,B
269,,,,Which of the following BEST describes Recovery Time Objective (RTO)?,Time of data validation after disaster,Time of data restoration from backup after disaster,Time of application resumption after disaster,Time of application verification after disaster,,,,,,,,,,,C
270,,,,"Without proper signal protection, embedded systems may be prone to which type of attack?",Brute force,Tampering,Information disclosure,Denial of Service (DoS),,,,,,,,,,,C
271,,,,"An organization has hired an information security officer to lead their security department. The officer has adequate people resources but is lacking the other necessary components to have an effective security program. There are numerous initiatives requiring security involvement. Given the number of priorities, which of the following will MOST likely influence the selection of top initiatives?",Severity of risk,Complexity of strategy,Frequency of incidents,Ongoing awareness,,,,,,,,,,,A
272,,,,"A new employee is given a laptop computer with full administrator access. This employee does not have a personal computer at home and has a child that uses the computer to send and receive e-mail, search the web, and use instant messaging. The organization’s Information Technology (IT) department discovers that a peer-to-peer program has been installed on the computer using the employee's access. Which of the following could have MOST likely prevented the Peer-to-Peer (P2P) program from being installed on the computer?",Removing employee's full access to the computer,Supervising their child's use of the computer,Limiting computer's access to only the employee,Ensuring employee understands their business conduct guidelines,,,,,,,,,,,A
273,,,,What does secure authentication with logging provide?,Data integrity,Access accountability,Encryption logging format,Segregation of duties,,,,,,,,,,,B
274,,,,"A large organization uses unique identifiers and requires them at the start of every system session. Application access is based on job classification. The organization is subject to periodic independent reviews of access controls and violations. The organization uses wired and wireless networks and remote access. The organization also uses secure connections to branch offices and secure backup and recovery strategies for selected information and processes. In addition to authentication at the start of the user session, best practice would require re-authentication",periodically during a session.,for each business process.,at system sign-off.,after a period of inactivity.,,,,,,,,,,,D
275,,,,Multi-Factor Authentication (MFA) is necessary in many systems given common types of password attacks. Which of the following is a correct list of password attacks?,"Masquerading, salami, malware, polymorphism","Brute force, dictionary, phishing, keylogger","Zeus, netbus, rabbit, turtle","Token, biometrics, IDS, DLP",,,,,,,,,,,B
276,,,,An organization experiencing a negative financial impact is forced to reduce budgets and the number of Information Technology (IT) operations staff performing basic logical access security administration functions. Security processes have been tightly integrated into normal IT operations and are not separate and distinct roles. Which of the following will MOST likely allow the organization to keep risk at an acceptable level?,Increasing the amount of audits performed by third parties,Removing privileged accounts from operational staff,Assigning privileged functions to appropriate staff,Separating the security function into distinct roles,,,,,,,,,,,C
277,,,,Which of the following assures that rules are followed in an identity management architecture?,Policy database,Digital signature,Policy decision point,Policy enforcement point,,,,,,,,,,,D
278,,,,"During an audit, the auditor finds evidence of potentially illegal activity. Which of the following is the MOST appropriate action to take?",Immediately call the police,Work with the client to resolve the issue internally,Advise the person performing the illegal activity to cease and desist,Work with the client to report the activity to the appropriate authority,,,,,,,,,,,D
279,,,,Which of the following actions MUST be taken if a vulnerability is discovered during the maintenance stage in a System Development Life Cycle (SDLC)?,Make changes following principle and design guidelines.,Stop the application until the vulnerability is fixed.,Report the vulnerability to product owner.,Monitor the application and review code.,,,,,,,,,,,C
280,,,,Which of the following violates identity and access management best practices?,User accounts,System accounts,Generic accounts,Privileged accounts,,,,,,,,,,,C
281,,,,A large bank deploys hardware tokens to all customers that use their online banking system. The token generates and displays a six digit numeric password every 60 seconds. The customers must log into their bank accounts using this numeric password. This is an example of,asynchronous token.,Single Sign-On (SSO) token.,single factor authentication token.,synchronous token.,,,,,,,,,,,D
282,,,,What do Capability Maturity Models (CMM) serve as a benchmark for in an organization?,Experience in the industry,Definition of security profiles,Human resource planning efforts,Procedures in systems development,,,,,,,,,,,D
283,,,,Which of the following is the BEST countermeasure to brute force login attacks?,Changing all canonical passwords,Decreasing the number of concurrent user sessions,Restricting initial password delivery only in person,Introducing a delay after failed system access attempts,,,,,,,,,,,D
284,,,,"During the procurement of a new information system, it was determined that some of the security requirements were not addressed in the system specification. Which of the following is the MOST likely reason for this?",The procurement officer lacks technical knowledge.,The security requirements have changed during the procurement process.,There were no security professionals in the vendor's bidding team.,The description of the security requirements was insufficient.,,,,,,,,,,,D
285,,,,A security practitioner detects client-based attacks on the organization’s network. A plan will be necessary to address these concerns. What MUST the plan include in order to reduce client-side exploitation?,Approved web browsers,Network firewall procedures,Proxy configuration,Employee education,,,,,,,,,,,D
286,,,,Which of the following BEST mitigates a replay attack against a system using identity federation and Security Assertion Markup Language (SAML) implementation?,Two-factor authentication,Digital certificates and hardware tokens,Timed sessions and Secure Socket Layer (SSL),Passwords with alpha-numeric and special characters,,,,,,,,,,,C
287,,,,Which of the following is a critical factor for implementing a successful data classification program?,Executive sponsorship,Information security sponsorship,End-user acceptance,Internal audit acceptance,,,,,,,,,,,A
288,,,,Which of the following is the MOST beneficial to review when performing an IT audit?,Audit policy,Security log,Security policies,Configuration settings,,,,,,,,,,,C
289,,,,Which of the following is the BEST solution to provide redundancy for telecommunications links?,Provide multiple links from the same telecommunications vendor.,Ensure that the telecommunications links connect to the network in one location.,Ensure that the telecommunications links connect to the network in multiple locations.,Provide multiple links from multiple telecommunications vendors.,,,,,,,,,,,D
290,,,,"With data labeling, which of the following MUST be the key decision maker?",Information security,Departmental management,Data custodian,Data owner,,,,,,,,,,,D
291,,,,The use of proximity card to gain access to a building is an example of what type of security control?,Legal,Logical,Physical,Procedural,,,,,,,,,,,C
292,,,,Which of the following secure startup mechanisms are PRIMARILY designed to thwart attacks?,Timing,Cold boot,Side channel,Acoustic cryptanalysis,,,,,,,,,,,B
293,,,,"According to best practice, which of the following is required when implementing third party software in a production environment?",Scan the application for vulnerabilities,Contract the vendor for patching,Negotiate end user application training,Escrow a copy of the software,,,,,,,,,,,A
294,,,,"During the investigation of a security incident, it is determined that an unauthorized individual accessed a system which hosts a database containing financial information. If the intrusion causes the system processes to hang, which of the following has been affected?",System integrity,System availability,System confidentiality,System auditability,,,,,,,,,,,B
295,,,,Which security approach will BEST minimize Personally Identifiable Information (PII) loss from a data breach?,A strong breach notification process,Limited collection of individuals' confidential data,End-to-end data encryption for data in transit,Continuous monitoring of potential vulnerabilities,,,,,,,,,,,B
296,,,,"If compromised, which of the following would lead to the exploitation of multiple virtual machines?",Virtual device drivers,Virtual machine monitor,Virtual machine instance,Virtual machine file system,,,,,,,,,,,B
297,,,,Which of the following is an advantage of on-premise Credential Management Systems?,Improved credential interoperability,Control over system configuration,Lower infrastructure capital costs,Reduced administrative overhead,,,,,,,,,,,B
298,,,,Which of the following is generally indicative of a replay attack when dealing with biometric authentication?,"False Acceptance Rate (FAR) is greater than 1 in 100,000",False Rejection Rate (FRR) is greater than 5 in 100,Inadequately specified templates,Exact match,,,,,,,,,,,D
299,,,,How does an organization verify that an information system's current hardware and software match the standard system configuration?,By reviewing the configuration after the system goes into production,By running vulnerability scanning tools on all devices in the environment,By comparing the actual configuration of the system against the baseline,By verifying all the approved security patches are implemented,,,,,,,,,,,C
300,,,,A security professional has been asked to evaluate the options for the location of a new data center within a multifloor building. Concerns for the data center include emanations and physical access controls. Which of the following is the BEST location?,On the top floor,In the basement,In the core of the building,In an exterior room with windows,,,,,,,,,,,C
301,,,,"The BEST example of the concept of ""something that a user has"" when providing an authorized user access to a computing system is",the user's hand geometry.,a credential stored in a token.,a passphrase.,the user's face.,,,,,,,,,,,B
302,,,,What type of encryption is used to protect sensitive data in transit over a network?,Payload encryption and transport encryption,Authentication Headers (AH),Keyed-Hashing for Message Authentication,Point-to-Point Encryption (P2PE),,,,,,,,,,,A
303,,,,A Simple Power Analysis (SPA) attack against a device directly observes which of the following?,Static discharge,Consumption,Generation,Magnetism,,,,,,,,,,,B
304,,,,The 802.1x standard provides a framework for what?,Network authentication for only wireless networks,Network authentication for wired and wireless networks,Wireless encryption using the Advanced Encryption Standard (AES),Wireless network encryption using Secure Sockets Layer (SSL),,,,,,,,,,,B
305,,,,"To protect auditable information, which of the following MUST be configured to only allow read access?",Logging configurations,Transaction log files,User account configurations,Access control lists (ACL),,,,,,,,,,,B
306,,,,The MAIN reason an organization conducts a security authorization process is to,force the organization to make conscious risk decisions.,assure the effectiveness of security controls.,assure the correct security organization exists.,force the organization to enlist management support.,,,,,,,,,,,A
307,,,,Which of the following controls is the FIRST step in protecting privacy in an information system?,Data Redaction,Data Minimization,Data Encryption,Data Storage,,,,,,,,,,,B
308,,,,Which of the following is the BIGGEST weakness when using native Lightweight Directory Access Protocol (LDAP) for authentication?,Authorizations are not included in the server response,Unsalted hashes are passed over the network,The authentication session can be replayed,Passwords are passed in cleartext,,,,,,,,,,,D
309,,,,"For privacy protected data, which of the following roles has the highest authority for establishing dissemination rules for the data?",Information Systems Security Officer,Data Owner,System Security Architect,Security Requirements Analyst,,,,,,,,,,,B
310,,,,Sensitive customer data is going to be added to a database. What is the MOST effective implementation for ensuring data privacy?,Discretionary Access Control (DAC) procedures,Mandatory Access Control (MAC) procedures,Data link encryption,Segregation of duties,,,,,,,,,,,D
311,,,,The BEST method to mitigate the risk of a dictionary attack on a system is to,use a hardware token.,use complex passphrases.,implement password history.,encrypt the access control list (ACL).,,,,,,,,,,,A
312,,,,Are companies legally required to report all data breaches?,"No, different jurisdictions have different rules.","No, not if the data is encrypted.","No, companies' codes of ethics don't require it.","No, only if the breach had a material impact.",,,,,,,,,,,A
313,,,,The implementation of which features of an identity management system reduces costs and administration overhead while improving audit and accountability?,Two-factor authentication,Single Sign-On (SSO),User self-service,A metadirectory,,,,,,,,,,,C
314,,,,. Discretionary Access Control (DAC) restricts access according to,data classification labeling.,page views within an application.,authorizations granted to the user.,management accreditation.,,,,,,,,,,,C
315,,,,. Which of the following is a reason to use manual patch installation instead of automated patch management?,The cost required to install patches will be reduced.,The time during which systems will remain vulnerable to an exploit will be decreased.,The likelihood of system or application incompatibilities will be decreased.,The ability to cover large geographic areas is increased.,,,,,,,,,,,C
316,,,,. Which of the following secures web transactions at the Transport Layer?,Secure HyperText Transfer Protocol (S-HTTP),Secure Sockets Layer (SSL),Socket Security (SOCKS),Secure Shell (SSH),,,,,,,,,,,B
317,,,,Which of the following is most helpful in applying the principle of LEAST privilege?,Establishing a sandboxing environment,Setting up a Virtual Private Network (VPN) tunnel,Monitoring and reviewing privileged sessions,Introducing a job rotation program,,,,,,,,,,,A
318,,,,What is the MOST effective method of testing custom application code?,Negative testing,White box testing,Penetration testing,Black box testing,,,,,,,,,,,B
319,,,,The PRIMARY outcome of a certification process is that it provides documented,system weaknesses for remediation.,"standards for security assessment, testing, and process evaluation.",interconnected systems and their implemented security controls.,security analyses needed to make a risk-based decision.,,,,,,,,,,,D
320,,,,A mobile device application that restricts the storage of user information to just that which is needed to accomplish lawful business goals adheres to what privacy principle?,Onward transfer,Collection Limitation,Collector Accountability,Individual Participation,,,,,,,,,,,B
321,,,,What should happen when an emergency change to a system must be performed?,The change must be given priority at the next meeting of the change control board.,Testing and approvals must be performed quickly.,The change must be performed immediately and then submitted to the change board.,The change is performed and a notation is made in the system log.,,,,,,,,,,,B
322,,,,"An organization lacks a data retention policy. Of the following, who is the BEST person to consult for such requirement?",Application Manager,Database Administrator,Privacy Officer,Finance Manager,,,,,,,,,,,C
323,,,,. Which of the following BEST describes a Protection Profile (PP)?,A document that expresses an implementation independent set of security requirements for an IT product that meets specific consumer needs.,A document that is used to develop an IT security product from its security requirements definition.,A document that expresses an implementation dependent set of security requirements which contains only the security functional requirements.,A document that represents evaluated products where there is a one-to-one correspondence between a PP and a Security Target (ST).,,,,,,,,,,,A
